category,weight,index_2020,change_year,change_month
Gesamtindex,1000.00,119.7,1.9,-0.1
Nahrungsmittel und alkoholfreie Getränke,119.04,132.4,2.1,-0.1
Nahrungsmittel,104.69,132.6,1.5,-0.2
Fleisch und Fleischwaren,22.16,129.2,0.0,0.2
Obst,11.62,116.2,2.5,0.9
Gemüse,13.72,126.2,0.9,-3.0
Alkoholische Getränke und Tabakwaren,35.26,122.7,3.2,0.4
Bekleidung und Schuhe,42.25,106.3,2.6,0.5
Wohnung; Wasser; Strom; Gas und andere Brennstoffe,259.25,116.1,1.0,-0.1
Tatsächliche Nettokaltmiete,68.30,108.0,2.1,0.2
Unterstellte Nettokaltmiete,104.13,107.2,2.1,0.1
Strom; Gas und andere Brennstoffe (Haushaltsenergie),43.44,150.0,-3.8,-0.5
Strom,24.50,126.9,-6.8,-0.2
Erdgas,6.07,190.2,-3.1,-0.4
Leichtes Heizöl,1.70,192.2,-9.3,-3.8
Möbel; Leuchten; Geräte und anderes Haushaltszubehör,67.78,117.5,-0.7,-0.3
Gesundheit,55.49,108.0,2.7,0.1
Verkehr,138.22,125.1,-0.2,-1.0
Kraftstoffe,30.46,139.5,-6.9,-2.8
Superbenzin,23.19,137.9,-6.5,-2.6
Dieselkraftstoff,6.92,143.1,-8.7,-3.6
Post und Telekommunikation,23.35,98.8,-1.2,-0.2
Freizeit; Unterhaltung und Kultur,104.23,118.6,1.2,0.0
Pauschalreisen,13.22,150.8,3.6,1.8
Bildungswesen,9.06,112.9,5.1,-0.7
Gaststätten- und Beherbergungsdienstleistungen,47.20,128.2,6.2,0.3
Andere Waren und Dienstleistungen,98.87,121.3,6.2,0.1
